id,name,released,rating,ratings_count,metacritic,playtime,genres,platforms
517399,Overcooked! All You Can Eat,2020-11-12,4.21,99,86.0,4,"Action, Casual, Strategy, Simulation, Family, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch"
479694,Inscryption,2021-10-19,4.39,571,86.0,8,"Indie, Strategy, Adventure","PC, PlayStation 5, PlayStation 4, Nintendo Switch, macOS, Linux"
349334,Until You Fall,2020-09-29,3.48,33,86.0,1,"Indie, Adventure, Action","PC, PlayStation 4"
50737,Bayonetta 3,2022-10-28,4.23,69,86.0,0,Action,Nintendo Switch
384567,Crusader Kings III,2020-09-01,4.32,452,86.0,12,"Strategy, RPG, Simulation","PC, PlayStation 5, Xbox Series S/X, macOS, Linux"
516113,Devil May Cry 5 Special Edition,2020-11-10,4.21,41,86.0,0,"Adventure, Action","PlayStation 5, Xbox Series S/X"
15426,Black Mesa,2020-03-06,4.35,1059,86.0,6,"Shooter, Indie, Action","PC, Linux"
29236,Tunic,2022-03-16,4.12,352,86.0,5,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS"
452634,Marvel's Spider-Man: Miles Morales,2020-11-12,4.27,915,86.0,9,Action,"PC, PlayStation 5, PlayStation 4"
452642,Horizon Forbidden West,2022-02-18,4.2,451,86.0,0,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4"
570074,Teenage Mutant Ninja Turtles: Shredder's Revenge,2022-06-16,4.08,431,86.0,3,"Adventure, Action, Fighting, Casual, Arcade, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, Linux"
251558,The Last Friend,2021-09-30,0.0,1,86.0,1,"Strategy, Indie","PC, Nintendo Switch"
537743,Ender Lilies: Quietus of the Knights,2021-06-22,3.99,89,86.0,4,"Platformer, Indie, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch"
58777,DOOM Eternal,2020-03-20,4.37,1400,86.0,12,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch"
518596,Nioh 2 – The Complete Edition,2021-02-05,4.08,81,86.0,14,"Action, RPG","PC, PlayStation 4"
452639,Returnal,2021-04-30,4.16,301,86.0,9,"Shooter, Action","PC, PlayStation 5"
684907,Resident Evil 4 (VR),2021-10-21,3.83,6,85.0,0,Adventure,
